Index_Entry,Formal_Full_Name,Normalization_Category
Pinacoteca at Lucca,,Person
Leo and Attila,,Work
Thomas Aquinas and Vincent Ferrer Pius V,,Work
Portrait of Field Marshal Schulenburg,,Person
Portrait of John Law,,Place
Portrait of John of Poland,,Person (Reclassified)
Portrait of Madame Rosenberg,,Person (Reclassified)
Portrait of Ottaviano Prati,,Work
Portrait of Pierre Motteux,,Work
Portrait of Streit's Father,,Person (Reclassified)
Portrait of Streit's Mother,,Work
Portrait of Streit's Sister,,Work
Portrait of Teodoro Correr,,Work
Portrait of a Cook,,Work
Portrait of the of Prussia,,Work
Portrait of the artist and his publisher Albrizzi,,Work
Portraits of Venetian Cardinals,,Work
Portraits of Venetian Popes,,Work
Portraits of the and of Monterrey,,Person (Reclassified)
Portraits of the Doges of Venice,,Work
Powers of Eloquence,,Work
Presenzini Cigoli,,Work
Protestant cemetery of San Cristoforo,,Person (Reclassified)
Provencal antiquary Peiresc,,Work
"Quadi, che rappresentano fatti della Sacra Scrittura",,Work
Jezebel torn to pieces by Dogs,,Person
Raccolta di centododici stampe,,Place
Raffaelo Marchesi,,Place
Raphael Loggias,,Work
Regulus killed by the Carthaginians,,Person (Reclassified)
Relief of Field Marshal Schulenburg,,Work
Religion trampling on Heresy,,Person
Religious Decorations at Whitehall,,Place
Renier Zeno,,Work
Ritratto con aistallo,,Work
Robert Alexander Waller Fund,,Work
Roberto Lanetti,,Work
Rococo Pavilion,,Person
Romulm and Remus,,Work
Rosalba Lorenzetti,,Place
Ruins of the Church of the Cross,,Person
Rules of the Order,,Place
San Gerolamo nel Deserto,,Work
SanGiovanni Decollato,,Person
SanMaria della Concezione,,Work
SanMaria della Vittoria,,Work
SSan Cosma e Damiano alia Giudecca,,Work
Sacrifices to Priapus,,Place
Saints Peter and Paul Baptising in the Mamertine Prison,,Place
Salumieri Guild,,Place
Samson killing a thousand with a jawbone,,Place
San Niccolo al Lido,,Work
Scenes from the Life of Scipio Africanus,,Work
Scenes of Christian Warfare,,Place
Scenes of Venetian Noble Life,,Work
School of Carlo Cignani,,Place
Sculptures for the Cathedral,,Work
Sebastiano Molino,,Work
Series of Egyptian Figures,,Work
Series of Etruscan Phallic Symbols,,Place
Service de Documentation Photographique des Musees Nationaux,,Work
"Sezione Notarile, Venice",,Person
Sheila Rinehart,,Work
Silvia Meloni Trkulja,,Work
Silvio Ubaldi,,Place
Society of Arcadia,,Place
Sophronia and Olindo,,Person
Soprintendenza alle Gallerie,,Person
St Francis in Assisi,,Person
St Stanislas Kostka,,Place
St Stanislas Kostka on his deathbed,,Work
St Teresa wounded by Christ,,Place
Saint Andrew's Temple Church,,Place
Saint Dominic instituting the Rosary,,Work
Saint Eustace hunting,,Work
Saint Helen finding the True Cross,,Work
Saint John and Saint Charles Borromeo,,Place
Saint Peter receiving the Keys,,Work
Saint Philip Neri and the Virgin,,Work
Saint Romualdo,,Work
Stamperia Albrizziana,,Work
State Squidition,,Work
Statue of Antenor,,Work
Statue of Field Marshal Schulenburg,,Work
Statue of Field Marshal Schulenburg,,Place
