QID,统一英文全名,P31|标签|实例英文
A431,Etchings of Oriental-style Heads,
A432,Eteocles and Polynices,
A433,Faith crushing Idolatry,
A434,Foresteria,
A435,Godolphin,
A436,Interior of the Pantheon,
A437,Iris Appearing to Turnus,
A438,"Juno, Goddess of Air",
A439,Monument to the 1st Duke of Marlborough,
A440,Musicians,
A441,Neptune Fountain,
A442,Newtonianismo cover illustration,
A443,Oriental Customs,
A444,P. Carlo de Co: ti Lodoli Veneziano forse il Socrate Architetto,
A445,Paintings for the Church in Salamanca,
A447,Pastoral Landscape,
A448,Portrait of St. Francis Xavier,
A449,Pyrrhus and Demetrius,
A450,Queen Jezebel torn to pieces by Dogs,
A451,Religious Decorations at Whitehall,
A452,Ritratto con aistallo,
A453,Ruins of the Church of the Cross,
A454,Scala Regia,
A455,Scenes from the Life of Scipio Africanus,
A456,Scenes of Christian Warfare,
A457,Scenes of Venetian Noble Life,
A458,Sculptures for the Cathedral,
A459,Serapis,
A460,Series of Egyptian Figures,
A461,Series of Etruscan Phallic Symbols,
A462,St. Peter's Basilica,
A463,Statues for the Lateran Basilica,
A464,Tarantella Dancers,
A465,The Baptism,
A466,The Continence of Scipio,
A467,The Four Seasons,
A468,The Hunt of Meleager,
A469,The Power of Love,
A470,The Rape of Ganymede,
A471,The Rape of Proserpina,
A472,The Sacrifice of Iphigenia,
A473,The Virgin Giving the Habit to Saint Teresa,
A474,Twelve Apostles,
A475,Twelve Watercolors of Venetian Women,
A476,Via Crucis,
A477,War Scenes,
A478,Woman Playing Musical Instrument,
A479,Zephyr Abducting Chloris,
A481,Escape from Egypt,
